PRECINCT,COUNTY,PRECINCT2,NAME,population,surveyed_democrat_percentage,surveyed_independent_green_percentage,surveyed_independent_percentage,surveyed_republican_percentage,surveyed_blank_percentage,surveyed_libertarian_percentage,surveyed_total,cluster
110,041,0110,DUTCH GAP,2826.295324,0.0000000000000000,0.0000000000000000,0.0000000000000000,93.06358382,6.936416185,0.0000000000000000,692,10
111,041,0111,IRON BRIDGE,6561.345476,0.0000000000000000,0.0000000000000000,0.0000000000000000,91.4945322,8.505467801,0.0000000000000000,1646,10
112,041,0112,CARVER,3751.21721,0.0000000000000000,0.0000000000000000,0.0000000000000000,91.28959276,8.71040724,0.0000000000000000,884,10
202,187,0202,LINDEN,3453.976345,37.54080522,0.0000000000000000,0.0000000000000000,62.13275299,0.326441785,0.0000000000000000,919,25
008,770,0008,JEFFERSON 2,1967.226751,95.46666667,0.0000000000000000,0.0000000000000000,0.0000000000000000,4.533333333,0.0000000000000000,375,92
501,003,0501,KESWICK,1967.28706,0.0000000000000000,0.0000000000000000,0.0000000000000000,93.13304721,6.86695279,0.0000000000000000,466,78
501,193,0501,PRECINCT 5-1,3244.730382,27.61094871,0.0000000000000000,5.049162902,64.94817964,2.391708743,0.0000000000000000,3763,31
602,177,0602,SMITH STATION,7709.124085,0.0000000000000000,0.0000000000000000,0.0000000000000000,87.86610879,12.13389121,0.0000000000000000,1434,97
603,177,0603,PIEDMONT,4031.881862,0.0000000000000000,0.0000000000000000,0.0000000000000000,88.3480826,11.6519174,0.0000000000000000,678,97
601,177,0601,SALEM,6069.009284,0.0000000000000000,0.0000000000000000,19.3236715,80.51529791,0.161030596,0.0000000000000000,621,97
307,153,0307,HENDERSON,6620.40326,61.232493,0.0000000000000000,0.0000000000000000,35.68627451,3.081232493,0.0000000000000000,1785,49
502,003,0502,STONY POINT,2109.958725,0.0000000000000000,0.0000000000000000,0.0000000000000000,92.33390119,7.666098807,0.0000000000000000,587,78
503,171,0503,TOMS BROOK,4019.2593,0.0000000000000000,0.0000000000000000,0.0000000000000000,96.14349776,3.856502242,0.0000000000000000,1115,75
501,171,0501,CEDAR CREEK,178.982848,0.0000000000000000,0.0000000000000000,30.27375201,69.56521739,0.161030596,0.0000000000000000,621,75
302,021,0302,MECHANICSBURG,993.984019,25.74257426,0.0000000000000000,0.0000000000000000,74.25742574,0.0000000000000000,0.0000000000000000,101,13
301,021,0301,HOLLYBROOK,786.280756,93.09309309,0.0000000000000000,0.0000000000000000,0.0000000000000000,6.906906907,0.0000000000000000,333,0.0000000000000000
506,003,0506,BAKER-BUTLER,4145.604652,0.0000000000000000,0.0000000000000000,0.0000000000000000,95.0487013,4.951298701,0.0000000000000000,1232,78
001,770,0001,HIGHLAND 1,3298.260616,96.96048632,0.0000000000000000,0.0000000000000000,0.0000000000000000,3.039513678,0.0000000000000000,329,92
008,810,0008,LONDON BRIDGE,5567.439485,44.29590018,0.0000000000000000,0.0000000000000000,55.70409982,0.0000000000000000,0.0000000000000000,1122,89
009,810,0009,TRANTWOOD,3571.6659,36.32416787,0.0000000000000000,0.0000000000000000,63.60347323,0.0723589,0.0000000000000000,1382,89
