SAINC30 Economic Profile,,,,,,,,,,,
(Millions of dollars) ,,,,,,,,,,,
Bureau of Economic Analysis ,,,,,,,,,,,
State or DC,,,,,,,,,,,
GeoFips,GeoName,LineCode,Description,2010,2011,2012,2013,2014,2015,2016,2017
0,United States,,Place of residence profile,,,,,,,,
0,United States,10,Personal income (millions of dollars),12541995,13315478,13998383,14175503,14983140,15711634,16115630,16820250
0,United States,,Derivation of personal income,,,,,,,,
0,United States,45,Net earnings by place of residence,8044221,8531667,8956340,9132669,9538096,9910063,10131013,10603746
0,United States,50,Personal current transfer receipts,2325117,2358654,2362988,2424297,2540294,2683000,2778025,2859632
0,United States,60,  Income maintenance benefits 1/,256034,264137,267614,271171,271015,272711,269922,268123
0,United States,70,  Unemployment insurance compensation,139715,107871,84439,63049,35774,32465,31908,29514
0,United States,80,  Retirement and other,1929368,1986646,2010935,2090077,2233505,2377824,2476195,2561995
0,United States,90,"Dividends, interest, and rent",2172657,2425157,2679055,2618537,2904750,3118571,3206592,3356872
0,United States,91,  Personal dividend income,543861,681497,835075,793291,953353,1033206,1075604,1108503
0,United States,92,  Personal interest income,1234578,1265014,1325995,1268287,1342962,1433580,1436159,1518188
0,United States,93,    Imputed interest receipts 2/,824325,843585,860895,857040,898442,957732,952668,983584
0,United States,94,    Monetary interest receipts,410253,421429,465100,411247,444520,475848,483491,534604
0,United States,95,  Rental income of persons,394218,478646,517985,556959,608435,651785,694829,730181
0,United States,96,    Imputed rent,265441,323783,353463,387490,413935,447652,481516,518411
0,United States,97,    Monetary rent,128777,154863,164522,169469,194500,204133,213313,211770
0,United States,100,Population (persons) 3/,309338421,311644280,313993272,316234505,318622525,321039839,323405935,325719178
0,United States,,Per capita incomes (dollars),,,,,,,,
0,United States,110,Per capita personal income 4/,40545,42727,44582,44826,47025,48940,49831,51640
0,United States,120,Per capita net earnings 4/,26005,27376,28524,28879,29935,30869,31326,32555
0,United States,130,Per capita personal current transfer receipts 4/,7516,7568,7526,7666,7973,8357,8590,8779
0,United States,140,  Per capita income maintenance benefits 4/,828,848,852,857,851,849,835,823
0,United States,150,  Per capita unemployment insurance compensation 4/,452,346,269,199,112,101,99,91
0,United States,160,  Per capita retirement and other 4/,6237,6375,6404,6609,7010,7407,7657,7866
0,United States,170,"Per capita dividends, interest, and rent 4/",7024,7782,8532,8280,9117,9714,9915,10306
0,United States,171,  Per capita dividends 4/,1758,2187,2660,2509,2992,3218,3326,3403
0,United States,172,  Per capita interest 4/,3991,4059,4223,4011,4215,4465,4441,4661
0,United States,173,  Per capita rent 4/,1274,1536,1650,1761,1910,2030,2148,2242
0,United States,,Place of work profile (millions of dollars),,,,,,,,
0,United States,180,Earnings by place of work,9023198,9443528,9901882,10231478,10686606,11110111,11365731,11897410
0,United States,190,  Wages and salaries,6363368,6615753,6918166,7104786,7465683,7847651,8074480,8447954
0,United States,200,  Supplements to wages and salaries,1546444,1592949,1632251,1714292,1768075,1835764,1868602,1946372
0,United States,201,    Employer contributions for employee pension and insurance funds 5/,1078294,1101118,1119860,1188894,1222296,1267018,1288223,1342095
0,United States,202,    Employer contributions for government social insurance,468150,491831,512391,525398,545779,568746,580379,604277
0,United States,210,  Proprietors' income,1113386,1234826,1351465,1412400,1452848,1426696,1422649,1503084
0,United States,220,    Farm proprietors' income,43664,70443,65035,97150,75318,61214,40811,41053
0,United States,230,    Nonfarm proprietors' income,1069722,1164383,1286430,1315250,1377530,1365482,1381838,1462031
0,United States,240,Total employment (number of jobs),172901700,176091700,178979700,182325100,186235800,190317800,193368900,196132200
0,United States,250,  Wage and salary employment,135393000,136918000,139619000,141932000,144722000,147635000,149904000,151825000
0,United States,260,  Proprietors employment,37508700,39173700,39360700,40393100,41513800,42682800,43464900,44307200
0,United States,270,    Farm proprietors employment 6/,1882000,1876000,1844000,1856000,1842000,1832000,1823000,1812000
0,United States,280,    Nonfarm proprietors employment,35626700,37297700,37516700,38537100,39671800,40850800,41641900,42495200
0,United States,290,Average earnings per job (dollars),52187,53628,55324,56117,57382,58377,58777,60660
0,United States,300,  Average wages and salaries,46999,48319,49550,50058,51586,53156,53864,55643
0,United States,310,  Average nonfarm proprietors' income,30026,31219,34290,34129,34723,33426,33184,34405
1000,Alabama,,Place of residence profile,,,,,,,,
1000,Alabama,10,Personal income (millions of dollars),161965.5,167675.6,172427.9,174118.7,180220.3,187301.6,190991.2,198916.4
1000,Alabama,,Derivation of personal income,,,,,,,,
1000,Alabama,45,Net earnings by place of residence,96225.8,100189.4,103069.4,104659.9,107423.3,110895.4,112833.2,117833.6
1000,Alabama,50,Personal current transfer receipts,37978.3,38720.4,38861.7,39709.4,41354.8,43042.1,44087.7,45594.1
1000,Alabama,60,  Income maintenance benefits 1/,4563.7,4824.1,4743.4,4787.6,4761.3,4735.8,4639.9,4502.8
1000,Alabama,70,  Unemployment insurance compensation,1163.6,929.9,658.1,465.3,269,230.2,220.3,184.9
1000,Alabama,80,  Retirement and other,32251,32966.4,33460.3,34456.5,36324.5,38076.1,39227.4,40906.4
1000,Alabama,90,"Dividends, interest, and rent",27761.4,28765.8,30496.7,29749.4,31442.2,33364,34070.3,35488.7
1000,Alabama,91,  Personal dividend income,6728.9,7911.9,9394.4,8992.9,9891.8,10756.7,11129.5,11494
