DATE,NROU
2023-10-01,4.549
2024-01-01,4.547
2024-04-01,4.545
2024-07-01,4.543
2024-10-01,4.541
2025-01-01,4.538
2025-04-01,4.536
2025-07-01,4.534
2025-10-01,4.531
2026-01-01,4.528
2026-04-01,4.525
2026-07-01,4.521
2026-10-01,4.518
2027-01-01,4.514
2027-04-01,4.509
2027-07-01,4.505
2027-10-01,4.5
2028-01-01,4.495
2028-04-01,4.49
2028-07-01,4.484
2028-10-01,4.479
2029-01-01,4.473
2029-04-01,4.467
2029-07-01,4.461
2029-10-01,4.455
