Fips,Area,IndCode,Industry,2007
0,United States,1,All industry total,14391149
0,United States,2,  Private industries,12572387
0,United States,3,"    Agriculture, forestry, fishing, and hunting",141999
0,United States,4,      Farms,113533
0,United States,5,"      Forestry, fishing, and related activities",28466
0,United States,6,"    Mining, quarrying, and oil and gas extraction",314018
0,United States,7,      Oil and gas extraction,205288
0,United States,8,      Mining (except oil and gas),58462
0,United States,9,      Support activities for mining,50268
0,United States,10,    Utilities,235074
0,United States,11,    Construction,714988
0,United States,12,    Manufacturing,1854330
0,United States,13,      Durable goods manufacturing,1030035
0,United States,14,        Wood product manufacturing,29131
0,United States,15,        Nonmetallic mineral product manufacturing,50275
0,United States,16,        Primary metal manufacturing,64707
0,United States,17,        Fabricated metal product manufacturing,135076
0,United States,18,        Machinery manufacturing,129732
0,United States,19,        Computer and electronic product manufacturing,227248
0,United States,20,"        Electrical equipment, appliance, and component manufacturing",50193
0,United States,21,"        Motor vehicles, bodies and trailers, and parts manufacturing",125258
0,United States,22,        Other transportation equipment manufacturing,114048
0,United States,23,        Furniture and related product manufacturing,32498
0,United States,24,        Miscellaneous manufacturing,71869
0,United States,25,      Nondurable goods manufacturing,824295
0,United States,26,        Food and beverage and tobacco products manufacturing,194404
0,United States,27,        Textile mills and textile product mills,19369
0,United States,28,"        Apparel, leather, and allied product manufacturing",11856
0,United States,29,        Paper manufacturing,55823
0,United States,30,        Printing and related support activities,47786
0,United States,31,        Petroleum and coal products manufacturing,154948
0,United States,32,        Chemical manufacturing,276412
0,United States,33,        Plastics and rubber products manufacturing,63696
0,United States,34,    Wholesale trade,860843
0,United States,35,    Retail trade,877606
0,United States,36,    Transportation and warehousing,409597
0,United States,37,      Air transportation,68765
0,United States,38,      Rail transportation,32365
0,United States,39,      Water transportation,14674
0,United States,40,      Truck transportation,123016
0,United States,41,      Transit and ground passenger transportation,26290
0,United States,42,      Pipeline transportation,13357
0,United States,43,      Other transportation and support activities,89861
0,United States,44,      Warehousing and storage,41270
0,United States,45,    Information,702387
0,United States,46,      Publishing industries (except Internet),190366
0,United States,47,      Motion picture and sound recording industries,73671
0,United States,48,      Broadcasting (except Internet) and telecommunications,373754
0,United States,49,"      Data processing, hosting, and other information services",64596
0,United States,50,"    Finance, insurance, real estate, rental, and leasing",2877106
0,United States,51,      Finance and insurance,1040521
0,United States,52,"        Monetary Authorities- central bank, credit intermediation, and related services",420460
0,United States,53,"        Securities, commodity contracts, and other financial investments and related activities",200617
0,United States,54,        Insurance carriers and related activities,392633
0,United States,55,"        Funds, trusts, and other financial vehicles",26811
0,United States,56,      Real estate and rental and leasing,1836585
0,United States,57,        Real estate,1670844
0,United States,58,        Rental and leasing services and lessors of nonfinancial intangible assets,165741
0,United States,59,    Professional and business services,1657218
0,United States,60,"      Professional, scientific, and technical services",967317
0,United States,61,        Legal services,215331
0,United States,62,        Computer systems design and related services,167141
0,United States,63,"        Miscellaneous professional, scientific, and technical services",584845
0,United States,64,      Management of companies and enterprises,259539
0,United States,65,      Administrative and support and waste management and remediation services,430362
0,United States,66,        Administrative and support services,394722
0,United States,67,        Waste management and remediation services,35641
0,United States,68,"    Educational services, health care, and social assistance",1064588
0,United States,69,      Educational services,138670
0,United States,70,      Health care and social assistance,925919
0,United States,71,        Ambulatory health care services,443395
0,United States,72,"        Hospitals, nursing, and residential care facilities",402093
0,United States,73,        Social assistance,80431
0,United States,74,"    Arts, entertainment, recreation, accommodation, and food services",532105
0,United States,75,"      Arts, entertainment, and recreation",137638
0,United States,76,"        Performing arts, spectator sports, museums, and related activities",74966
0,United States,77,"        Amusement, gambling, and recreation industries",62672
0,United States,78,      Accommodation and food services,394467
0,United States,79,        Accommodation,124078
0,United States,80,        Food services and drinking places,270390
0,United States,81,    Other services (except government and government enterprises),330527
0,United States,82,  Government and government enterprises,1818761
0,United States,83,    Federal civilian,330674
0,United States,84,    Military,185191
0,United States,85,    State and local,1302894
0,United States,86,Addenda:,
0,United States,86,Natural resources and mining,456017
0,United States,87,Trade,1738449
0,United States,88,Transportation and utilities,644671
0,United States,89,Private goods-producing industries,3025336
0,United States,90,Private services-providing industries,9547052
1000,Alabama,1,All industry total,169923
1000,Alabama,2,  Private industries,141306
1000,Alabama,3,"    Agriculture, forestry, fishing, and hunting",1898
1000,Alabama,4,      Farms,1369
1000,Alabama,5,"      Forestry, fishing, and related activities",529
1000,Alabama,6,"    Mining, quarrying, and oil and gas extraction",3447
1000,Alabama,7,      Oil and gas extraction,1932
1000,Alabama,8,      Mining (except oil and gas),1390
1000,Alabama,9,      Support activities for mining,125
1000,Alabama,10,    Utilities,4607
1000,Alabama,11,    Construction,9160
1000,Alabama,12,    Manufacturing,29264
1000,Alabama,13,      Durable goods manufacturing,17878
1000,Alabama,14,        Wood product manufacturing,1002
1000,Alabama,15,        Nonmetallic mineral product manufacturing,1064
1000,Alabama,16,        Primary metal manufacturing,3123
1000,Alabama,17,        Fabricated metal product manufacturing,2295
1000,Alabama,18,        Machinery manufacturing,1069
1000,Alabama,19,        Computer and electronic product manufacturing,1473
1000,Alabama,20,"        Electrical equipment, appliance, and component manufacturing",606
1000,Alabama,21,"        Motor vehicles, bodies and trailers, and parts manufacturing",3683
1000,Alabama,22,        Other transportation equipment manufacturing,2257
1000,Alabama,23,        Furniture and related product manufacturing,850
1000,Alabama,24,        Miscellaneous manufacturing,455
1000,Alabama,25,      Nondurable goods manufacturing,11386
1000,Alabama,26,        Food and beverage and tobacco products manufacturing,1989
1000,Alabama,27,        Textile mills and textile product mills,860
1000,Alabama,28,"        Apparel, leather, and allied product manufacturing",496
1000,Alabama,29,        Paper manufacturing,2789
1000,Alabama,30,        Printing and related support activities,268
1000,Alabama,31,        Petroleum and coal products manufacturing,1266
1000,Alabama,32,        Chemical manufacturing,2630
1000,Alabama,33,        Plastics and rubber products manufacturing,1088
