Fips,Area,IndCode,Industry,2003
0,United States,1,All industry total,11440109
0,United States,2,  Private industries,9950967
0,United States,3,"    Agriculture, forestry, fishing, and hunting",116075
0,United States,4,      Farms,93102
0,United States,5,"      Forestry, fishing, and related activities",22973
0,United States,6,"    Mining, quarrying, and oil and gas extraction",140083
0,United States,7,      Oil and gas extraction,93601
0,United States,8,      Mining (except oil and gas),29518
0,United States,9,      Support activities for mining,16964
0,United States,10,    Utilities,187079
0,United States,11,    Construction,527133
0,United States,12,    Manufacturing,1531094
0,United States,13,      Durable goods manufacturing,865892
0,United States,14,        Wood product manufacturing,28854
0,United States,15,        Nonmetallic mineral product manufacturing,42223
0,United States,16,        Primary metal manufacturing,39523
0,United States,17,        Fabricated metal product manufacturing,109035
0,United States,18,        Machinery manufacturing,97805
0,United States,19,        Computer and electronic product manufacturing,193298
0,United States,20,"        Electrical equipment, appliance, and component manufacturing",45610
0,United States,21,"        Motor vehicles, bodies and trailers, and parts manufacturing",144296
0,United States,22,        Other transportation equipment manufacturing,72666
0,United States,23,        Furniture and related product manufacturing,30479
0,United States,24,        Miscellaneous manufacturing,62101
0,United States,25,      Nondurable goods manufacturing,665203
0,United States,26,        Food and beverage and tobacco products manufacturing,180382
0,United States,27,        Textile mills and textile product mills,18802
0,United States,28,"        Apparel, leather, and allied product manufacturing",15530
0,United States,29,        Paper manufacturing,51301
0,United States,30,        Printing and related support activities,42360
0,United States,31,        Petroleum and coal products manufacturing,82119
0,United States,32,        Chemical manufacturing,211458
0,United States,33,        Plastics and rubber products manufacturing,63251
0,United States,34,    Wholesale trade,647140
0,United States,35,    Retail trade,775840
0,United States,36,    Transportation and warehousing,320862
0,United States,37,      Air transportation,53086
0,United States,38,      Rail transportation,23530
0,United States,39,      Water transportation,8574
0,United States,40,      Truck transportation,101606
0,United States,41,      Transit and ground passenger transportation,21434
0,United States,42,      Pipeline transportation,10547
0,United States,43,      Other transportation and support activities,73473
0,United States,44,      Warehousing and storage,28613
0,United States,45,    Information,563974
0,United States,46,      Publishing industries (except Internet),145289
0,United States,47,      Motion picture and sound recording industries,66568
0,United States,48,      Broadcasting (except Internet) and telecommunications,289117
0,United States,49,"      Data processing, hosting, and other information services",63000
0,United States,50,"    Finance, insurance, real estate, rental, and leasing",2331730
0,United States,51,      Finance and insurance,866781
0,United States,52,"        Monetary Authorities- central bank, credit intermediation, and related services",419209
0,United States,53,"        Securities, commodity contracts, and other financial investments and related activities",145017
0,United States,54,        Insurance carriers and related activities,280436
0,United States,55,"        Funds, trusts, and other financial vehicles",22119
0,United States,56,      Real estate and rental and leasing,1464949
0,United States,57,        Real estate,1320367
0,United States,58,        Rental and leasing services and lessors of nonfinancial intangible assets,144582
0,United States,59,    Professional and business services,1248286
0,United States,60,"      Professional, scientific, and technical services",739508
0,United States,61,        Legal services,166427
0,United States,62,        Computer systems design and related services,115718
0,United States,63,"        Miscellaneous professional, scientific, and technical services",457363
0,United States,64,      Management of companies and enterprises,187483
0,United States,65,      Administrative and support and waste management and remediation services,321295
0,United States,66,        Administrative and support services,288625
0,United States,67,        Waste management and remediation services,32670
0,United States,68,"    Educational services, health care, and social assistance",844545
0,United States,69,      Educational services,106519
0,United States,70,      Health care and social assistance,738026
0,United States,71,        Ambulatory health care services,352161
0,United States,72,"        Hospitals, nursing, and residential care facilities",320592
0,United States,73,        Social assistance,65274
0,United States,74,"    Arts, entertainment, recreation, accommodation, and food services",432226
0,United States,75,"      Arts, entertainment, and recreation",111111
0,United States,76,"        Performing arts, spectator sports, museums, and related activities",61588
0,United States,77,"        Amusement, gambling, and recreation industries",49523
0,United States,78,      Accommodation and food services,321115
0,United States,79,        Accommodation,94270
0,United States,80,        Food services and drinking places,226845
0,United States,81,    Other services (except government and government enterprises),284899
0,United States,82,  Government and government enterprises,1489142
0,United States,83,    Federal civilian,280697
0,United States,84,    Military,144971
0,United States,85,    State and local,1063475
0,United States,86,Addenda:,
0,United States,86,Natural resources and mining,256157
0,United States,87,Trade,1422980
0,United States,88,Transportation and utilities,507941
0,United States,89,Private goods-producing industries,2314385
0,United States,90,Private services-providing industries,7636582
1000,Alabama,1,All industry total,134388
1000,Alabama,2,  Private industries,111717
1000,Alabama,3,"    Agriculture, forestry, fishing, and hunting",2201
1000,Alabama,4,      Farms,1802
1000,Alabama,5,"      Forestry, fishing, and related activities",399
1000,Alabama,6,"    Mining, quarrying, and oil and gas extraction",1593
1000,Alabama,7,      Oil and gas extraction,758
