Fips,Area,IndCode,Industry,1992
0,United States,1,All industry total,6167644
0,United States,2,  Private industries,5331969
0,United States,3,"      Agriculture, forestry, and fishing",109105
0,United States,4,          Farms,80392
0,United States,5,"          Agricultural services, forestry, and fishing",28713
0,United States,6,      Mining,92023
0,United States,7,          Metal mining,6094
0,United States,8,          Coal mining,12951
0,United States,9,          Oil and gas extraction,65083
0,United States,10,"          Nonmetallic minerals, except fuels",7894
0,United States,11,      Construction,233829
0,United States,12,      Manufacturing,1077111
0,United States,13,          Durable goods manufacturing,602279
0,United States,14,              Lumber and wood products,31434
0,United States,15,              Furniture and fixtures,16526
0,United States,16,"              Stone, clay, and glass products",26452
0,United States,17,              Primary metal industries,40101
0,United States,18,              Fabricated metal products,68837
0,United States,19,              Industrial machinery and equipment,115395
0,United States,20,              Electronic and other electric equipment,112820
0,United States,21,              Motor vehicles and equipment,63617
0,United States,22,              Other transportation equipment,57159
0,United States,23,              Instruments and related products,50002
0,United States,24,              Miscellaneous manufacturing industries,19937
0,United States,25,          Nondurable goods manufacturing,474832
0,United States,26,              Food and kindred products,103680
0,United States,27,              Tobacco products,14602
0,United States,28,              Textile mill products,25625
0,United States,29,              Apparel and other textile products,27341
0,United States,30,              Paper and allied products,45407
0,United States,31,              Printing and publishing,76436
0,United States,32,              Chemicals and allied products,113262
0,United States,33,              Petroleum and coal products,25177
0,United States,34,              Rubber and miscellaneous plastics products,38434
0,United States,35,              Leather and leather products,4867
0,United States,36,      Transportation and public utilities,530047
0,United States,37,          Transportation,192504
0,United States,38,              Railroad transportation,21059
0,United States,39,              Local and interurban passenger transit,10952
0,United States,40,              Trucking and warehousing,74489
0,United States,41,              Water transportation,10955
0,United States,42,              Transportation by air,50749
0,United States,43,"              Pipelines, except natural gas",5521
0,United States,44,              Transportation services,18780
0,United States,45,          Communications,164610
0,United States,46,"          Electric, gas, and sanitary services",172933
0,United States,47,      Wholesale trade,411290
0,United States,48,      Retail trade,537844
0,United States,49,"      Finance, insurance, and real estate",1132303
0,United States,50,          Depository institutions,181106
0,United States,51,          Nondepository institutions,18565
0,United States,52,          Security and commodity brokers,47603
0,United States,53,          Insurance carriers,120097
0,United States,54,"          Insurance agents, brokers, and services",37042
0,United States,55,          Real estate,712878
0,United States,56,          Holding and other investment offices,15013
0,United States,57,      Services,1208417
0,United States,58,          Hotels and other lodging places,49789
0,United States,59,          Personal services,42008
0,United States,60,          Business services,227393
0,United States,61,"          Automotive repair, services, and parking",51481
0,United States,62,          Miscellaneous repair services,18583
0,United States,63,          Motion pictures,17558
0,United States,64,          Amusement and recreation services,47127
0,United States,65,          Health services,374147
0,United States,66,          Legal services,91315
0,United States,67,          Educational services,45145
0,United States,68,          Social services,35438
0,United States,69,          Membership organizations,38894
0,United States,70,          Other services,159320
0,United States,71,          Private households,10219
0,United States,72,  Government and government enterprises,835675
0,United States,73,      Federal civilian,177593
0,United States,74,      Military,90715
0,United States,75,      State and local,567367
0,United States,76,Addenda:,
0,United States,76,  Electronic equipment and instruments,162822
0,United States,77,  Depository and nondepository institutions,199671
0,United States,78,  Business services and other services,386714
1000,Alabama,1,All industry total,81260
1000,Alabama,2,  Private industries,66761
1000,Alabama,3,"      Agriculture, forestry, and fishing",1622
1000,Alabama,4,          Farms,1269
1000,Alabama,5,"          Agricultural services, forestry, and fishing",353
1000,Alabama,6,      Mining,1094
1000,Alabama,7,          Metal mining,5
1000,Alabama,8,          Coal mining,616
1000,Alabama,9,          Oil and gas extraction,335
1000,Alabama,10,"          Nonmetallic minerals, except fuels",139
1000,Alabama,11,      Construction,3052
1000,Alabama,12,      Manufacturing,18072
1000,Alabama,13,          Durable goods manufacturing,8765
1000,Alabama,14,              Lumber and wood products,1259
1000,Alabama,15,              Furniture and fixtures,396
1000,Alabama,16,"              Stone, clay, and glass products",372
1000,Alabama,17,              Primary metal industries,1521
1000,Alabama,18,              Fabricated metal products,1037
1000,Alabama,19,              Industrial machinery and equipment,1246
1000,Alabama,20,              Electronic and other electric equipment,1044
1000,Alabama,21,              Motor vehicles and equipment,743
1000,Alabama,22,              Other transportation equipment,787
1000,Alabama,23,              Instruments and related products,161
1000,Alabama,24,              Miscellaneous manufacturing industries,200
1000,Alabama,25,          Nondurable goods manufacturing,9307
1000,Alabama,26,              Food and kindred products,985
1000,Alabama,27,              Tobacco products,13
1000,Alabama,28,              Textile mill products,1647
1000,Alabama,29,              Apparel and other textile products,1192
1000,Alabama,30,              Paper and allied products,2183
1000,Alabama,31,              Printing and publishing,633
1000,Alabama,32,              Chemicals and allied products,1405
1000,Alabama,33,              Petroleum and coal products,346
