Fips,Area,IndCode,Industry,1996
0,United States,1,All industry total,7749965
0,United States,2,  Private industries,6786634
0,United States,3,"      Agriculture, forestry, and fishing",129420
0,United States,4,          Farms,93279
0,United States,5,"          Agricultural services, forestry, and fishing",36141
0,United States,6,      Mining,122117
0,United States,7,          Metal mining,7107
0,United States,8,          Coal mining,12066
0,United States,9,          Oil and gas extraction,92113
0,United States,10,"          Nonmetallic minerals, except fuels",10832
0,United States,11,      Construction,328075
0,United States,12,      Manufacturing,1298449
0,United States,13,          Durable goods manufacturing,752328
0,United States,14,              Lumber and wood products,38845
0,United States,15,              Furniture and fixtures,20986
0,United States,16,"              Stone, clay, and glass products",33291
0,United States,17,              Primary metal industries,50918
0,United States,18,              Fabricated metal products,92925
0,United States,19,              Industrial machinery and equipment,140632
0,United States,20,              Electronic and other electric equipment,152773
0,United States,21,              Motor vehicles and equipment,88826
0,United States,22,              Other transportation equipment,54387
0,United States,23,              Instruments and related products,53578
0,United States,24,              Miscellaneous manufacturing industries,25169
0,United States,25,          Nondurable goods manufacturing,546120
0,United States,26,              Food and kindred products,115691
0,United States,27,              Tobacco products,14227
0,United States,28,              Textile mill products,25514
0,United States,29,              Apparel and other textile products,27291
0,United States,30,              Paper and allied products,55628
0,United States,31,              Printing and publishing,85142
0,United States,32,              Chemicals and allied products,145222
0,United States,33,              Petroleum and coal products,24085
0,United States,34,              Rubber and miscellaneous plastics products,49011
0,United States,35,              Leather and leather products,4309
0,United States,36,      Transportation and public utilities,650876
0,United States,37,          Transportation,245440
0,United States,38,              Railroad transportation,22443
0,United States,39,              Local and interurban passenger transit,14338
0,United States,40,              Trucking and warehousing,99501
0,United States,41,              Water transportation,11963
0,United States,42,              Transportation by air,68179
0,United States,43,"              Pipelines, except natural gas",5921
0,United States,44,              Transportation services,23095
0,United States,45,          Communications,210359
0,United States,46,"          Electric, gas, and sanitary services",195077
0,United States,47,      Wholesale trade,536943
0,United States,48,      Retail trade,696098
0,United States,49,"      Finance, insurance, and real estate",1441448
0,United States,50,          Depository institutions,203987
0,United States,51,          Nondepository institutions,30580
0,United States,52,          Security and commodity brokers,95351
0,United States,53,          Insurance carriers,154031
0,United States,54,"          Insurance agents, brokers, and services",46287
0,United States,55,          Real estate,880837
0,United States,56,          Holding and other investment offices,30374
0,United States,57,      Services,1583209
0,United States,58,          Hotels and other lodging places,66182
0,United States,59,          Personal services,51825
0,United States,60,          Business services,345379
0,United States,61,"          Automotive repair, services, and parking",70343
0,United States,62,          Miscellaneous repair services,25248
0,United States,63,          Motion pictures,23856
0,United States,64,          Amusement and recreation services,60700
0,United States,65,          Health services,447086
0,United States,66,          Legal services,103778
0,United States,67,          Educational services,58100
0,United States,68,          Social services,46073
0,United States,69,          Membership organizations,52120
0,United States,70,          Other services,220367
0,United States,71,          Private households,12153
0,United States,72,  Government and government enterprises,963332
0,United States,73,      Federal civilian,192569
0,United States,74,      Military,86504
0,United States,75,      State and local,684259
0,United States,76,Addenda:,
0,United States,76,  Electronic equipment and instruments,206350
0,United States,77,  Depository and nondepository institutions,234567
0,United States,78,  Business services and other services,565746
1000,Alabama,1,All industry total,100146
1000,Alabama,2,  Private industries,84311
1000,Alabama,3,"      Agriculture, forestry, and fishing",1848
1000,Alabama,4,          Farms,1408
1000,Alabama,5,"          Agricultural services, forestry, and fishing",440
1000,Alabama,6,      Mining,1590
1000,Alabama,7,          Metal mining,5
1000,Alabama,8,          Coal mining,679
1000,Alabama,9,          Oil and gas extraction,670
1000,Alabama,10,"          Nonmetallic minerals, except fuels",237
1000,Alabama,11,      Construction,4527
1000,Alabama,12,      Manufacturing,21201
1000,Alabama,13,          Durable goods manufacturing,10754
1000,Alabama,14,              Lumber and wood products,1876
1000,Alabama,15,              Furniture and fixtures,491
1000,Alabama,16,"              Stone, clay, and glass products",599
1000,Alabama,17,              Primary metal industries,2021
1000,Alabama,18,              Fabricated metal products,1256
1000,Alabama,19,              Industrial machinery and equipment,1313
1000,Alabama,20,              Electronic and other electric equipment,1134
1000,Alabama,21,              Motor vehicles and equipment,1074
1000,Alabama,22,              Other transportation equipment,673
1000,Alabama,23,              Instruments and related products,131
1000,Alabama,24,              Miscellaneous manufacturing industries,186
1000,Alabama,25,          Nondurable goods manufacturing,10447
1000,Alabama,26,              Food and kindred products,916
1000,Alabama,27,              Tobacco products,22
1000,Alabama,28,              Textile mill products,1588
1000,Alabama,29,              Apparel and other textile products,1104
1000,Alabama,30,              Paper and allied products,2685
1000,Alabama,31,              Printing and publishing,810
1000,Alabama,32,              Chemicals and allied products,2075
1000,Alabama,33,              Petroleum and coal products,317
1000,Alabama,34,              Rubber and miscellaneous plastics products,925
1000,Alabama,35,              Leather and leather products,2
1000,Alabama,36,      Transportation and public utilities,9577
1000,Alabama,37,          Transportation,2853
1000,Alabama,38,              Railroad transportation,390
1000,Alabama,39,              Local and interurban passenger transit,83
1000,Alabama,40,              Trucking and warehousing,1773
1000,Alabama,41,              Water transportation,137
1000,Alabama,42,              Transportation by air,268
1000,Alabama,43,"              Pipelines, except natural gas",85
1000,Alabama,44,              Transportation services,117
1000,Alabama,45,          Communications,3060
1000,Alabama,46,"          Electric, gas, and sanitary services",3664
1000,Alabama,47,      Wholesale trade,6544
1000,Alabama,48,      Retail trade,10090
1000,Alabama,49,"      Finance, insurance, and real estate",12585
1000,Alabama,50,          Depository institutions,2596
1000,Alabama,51,          Nondepository institutions,254
1000,Alabama,52,          Security and commodity brokers,245
1000,Alabama,53,          Insurance carriers,1054
1000,Alabama,54,"          Insurance agents, brokers, and services",472
1000,Alabama,55,          Real estate,7726
1000,Alabama,56,          Holding and other investment offices,237
1000,Alabama,57,      Services,16350
1000,Alabama,58,          Hotels and other lodging places,353
1000,Alabama,59,          Personal services,654
1000,Alabama,60,          Business services,2662
1000,Alabama,61,"          Automotive repair, services, and parking",907
1000,Alabama,62,          Miscellaneous repair services,394
1000,Alabama,63,          Motion pictures,65
1000,Alabama,64,          Amusement and recreation services,272
1000,Alabama,65,          Health services,5946
1000,Alabama,66,          Legal services,1193
1000,Alabama,67,          Educational services,371
1000,Alabama,68,          Social services,368
1000,Alabama,69,          Membership organizations,760
1000,Alabama,70,          Other services,2248
1000,Alabama,71,          Private households,157
1000,Alabama,72,  Government and government enterprises,15835
1000,Alabama,73,      Federal civilian,4283
1000,Alabama,74,      Military,1586
1000,Alabama,75,      State and local,9967
1000,Alabama,76,Addenda:,
1000,Alabama,76,  Electronic equipment and instruments,1265
1000,Alabama,77,  Depository and nondepository institutions,2850
1000,Alabama,78,  Business services and other services,4909
2000,Alaska,1,All industry total,26737
2000,Alaska,2,  Private industries,21724
2000,Alaska,3,"      Agriculture, forestry, and fishing",368
2000,Alaska,4,          Farms,23
2000,Alaska,5,"          Agricultural services, forestry, and fishing",344
2000,Alaska,6,      Mining,7286
2000,Alaska,7,          Metal mining,286
