Fips,Area,IndCode,Industry,1997
00000,United States,1,All industry total,8284432
00000,United States,2,  Private industries,7284991
00000,United States,3,"      Agriculture, forestry, and fishing",126638
00000,United States,4,          Farms,87949
00000,United States,5,"          Agricultural services, forestry, and fishing",38690
00000,United States,6,      Mining,129610
00000,United States,7,          Metal mining,7161
00000,United States,8,          Coal mining,12020
00000,United States,9,          Oil and gas extraction,98527
00000,United States,10,"          Nonmetallic minerals, except fuels",11902
00000,United States,11,      Construction,356538
00000,United States,12,      Manufacturing,1381169
00000,United States,13,          Durable goods manufacturing,805597
00000,United States,14,              Lumber and wood products,39996
00000,United States,15,              Furniture and fixtures,23145
00000,United States,16,"              Stone, clay, and glass products",38437
00000,United States,17,              Primary metal industries,53257
00000,United States,18,              Fabricated metal products,99282
00000,United States,19,              Industrial machinery and equipment,149846
00000,United States,20,              Electronic and other electric equipment,170996
00000,United States,21,              Motor vehicles and equipment,92507
00000,United States,22,              Other transportation equipment,57552
00000,United States,23,              Instruments and related products,53811
00000,United States,24,              Miscellaneous manufacturing industries,26769
00000,United States,25,          Nondurable goods manufacturing,575571
00000,United States,26,              Food and kindred products,119963
00000,United States,27,              Tobacco products,15807
00000,United States,28,              Textile mill products,26110
00000,United States,29,              Apparel and other textile products,27266
00000,United States,30,              Paper and allied products,54153
00000,United States,31,              Printing and publishing,89180
00000,United States,32,              Chemicals and allied products,156685
00000,United States,33,              Petroleum and coal products,29536
00000,United States,34,              Rubber and miscellaneous plastics products,52365
00000,United States,35,              Leather and leather products,4506
00000,United States,36,      Transportation and public utilities,672703
00000,United States,37,          Transportation,266450
00000,United States,38,              Railroad transportation,21221
00000,United States,39,              Local and interurban passenger transit,16278
00000,United States,40,              Trucking and warehousing,109186
00000,United States,41,              Water transportation,12732
00000,United States,42,              Transportation by air,77027
00000,United States,43,"              Pipelines, except natural gas",5864
00000,United States,44,              Transportation services,24142
00000,United States,45,          Communications,212670
00000,United States,46,"          Electric, gas, and sanitary services",193583
00000,United States,47,      Wholesale trade,575829
00000,United States,48,      Retail trade,745733
00000,United States,49,"      Finance, insurance, and real estate",1576282
00000,United States,50,          Depository institutions,213753
00000,United States,51,          Nondepository institutions,40880
00000,United States,52,          Security and commodity brokers,120284
00000,United States,53,          Insurance carriers,169875
00000,United States,54,"          Insurance agents, brokers, and services",49151
00000,United States,55,          Real estate,942732
00000,United States,56,          Holding and other investment offices,39608
00000,United States,57,      Services,1720489
00000,United States,58,          Hotels and other lodging places,72925
00000,United States,59,          Personal services,55989
00000,United States,60,          Business services,397538
00000,United States,61,"          Automotive repair, services, and parking",74415
00000,United States,62,          Miscellaneous repair services,26621
00000,United States,63,          Motion pictures,25869
00000,United States,64,          Amusement and recreation services,69524
00000,United States,65,          Health services,465620
00000,United States,66,          Legal services,109047
00000,United States,67,          Educational services,62103
00000,United States,68,          Social services,49402
00000,United States,69,          Membership organizations,56462
00000,United States,70,          Other services,242780
00000,United States,71,          Private households,12193
00000,United States,72,  Government and government enterprises,999440
00000,United States,73,      Federal civilian,198598
00000,United States,74,      Military,86611
00000,United States,75,      State and local,714231
00000,United States,76,Addenda:,
00000,United States,76,  Electronic equipment and instruments,224807
00000,United States,77,  Depository and nondepository institutions,254633
00000,United States,78,  Business services and other services,640318
01000,Alabama,1,All industry total,104805
01000,Alabama,2,  Private industries,88507
01000,Alabama,3,"      Agriculture, forestry, and fishing",1820
01000,Alabama,4,          Farms,1371
01000,Alabama,5,"          Agricultural services, forestry, and fishing",449
01000,Alabama,6,      Mining,1755
01000,Alabama,7,          Metal mining,6
01000,Alabama,8,          Coal mining,682
01000,Alabama,9,          Oil and gas extraction,788
01000,Alabama,10,"          Nonmetallic minerals, except fuels",280
01000,Alabama,11,      Construction,4846
01000,Alabama,12,      Manufacturing,21719
01000,Alabama,13,          Durable goods manufacturing,11277
01000,Alabama,14,              Lumber and wood products,1840
01000,Alabama,15,              Furniture and fixtures,481
01000,Alabama,16,"              Stone, clay, and glass products",714
01000,Alabama,17,              Primary metal industries,2206
01000,Alabama,18,              Fabricated metal products,1415
01000,Alabama,19,              Industrial machinery and equipment,1396
01000,Alabama,20,              Electronic and other electric equipment,1216
01000,Alabama,21,              Motor vehicles and equipment,1091
01000,Alabama,22,              Other transportation equipment,586
01000,Alabama,23,              Instruments and related products,133
01000,Alabama,24,              Miscellaneous manufacturing industries,200
01000,Alabama,25,          Nondurable goods manufacturing,10441
01000,Alabama,26,              Food and kindred products,939
01000,Alabama,27,              Tobacco products,27
01000,Alabama,28,              Textile mill products,1676
01000,Alabama,29,              Apparel and other textile products,1068
01000,Alabama,30,              Paper and allied products,2555
01000,Alabama,31,              Printing and publishing,843
01000,Alabama,32,              Chemicals and allied products,1996
01000,Alabama,33,              Petroleum and coal products,342
01000,Alabama,34,              Rubber and miscellaneous plastics products,993
01000,Alabama,35,              Leather and leather products,3
01000,Alabama,36,      Transportation and public utilities,9519
01000,Alabama,37,          Transportation,2982
01000,Alabama,38,              Railroad transportation,361
01000,Alabama,39,              Local and interurban passenger transit,97
01000,Alabama,40,              Trucking and warehousing,1894
01000,Alabama,41,              Water transportation,134
01000,Alabama,42,              Transportation by air,288
01000,Alabama,43,"              Pipelines, except natural gas",84
01000,Alabama,44,              Transportation services,124
01000,Alabama,45,          Communications,2963
01000,Alabama,46,"          Electric, gas, and sanitary services",3573
01000,Alabama,47,      Wholesale trade,6817
01000,Alabama,48,      Retail trade,10551
01000,Alabama,49,"      Finance, insurance, and real estate",13826
01000,Alabama,50,          Depository institutions,3087
01000,Alabama,51,          Nondepository institutions,294
01000,Alabama,52,          Security and commodity brokers,301
01000,Alabama,53,          Insurance carriers,1124
01000,Alabama,54,"          Insurance agents, brokers, and services",505
01000,Alabama,55,          Real estate,8251
01000,Alabama,56,          Holding and other investment offices,264
01000,Alabama,57,      Services,17655
01000,Alabama,58,          Hotels and other lodging places,375
01000,Alabama,59,          Personal services,697
01000,Alabama,60,          Business services,3118
01000,Alabama,61,"          Automotive repair, services, and parking",940
01000,Alabama,62,          Miscellaneous repair services,431
01000,Alabama,63,          Motion pictures,69
01000,Alabama,64,          Amusement and recreation services,317
01000,Alabama,65,          Health services,6293
01000,Alabama,66,          Legal services,1212
01000,Alabama,67,          Educational services,379
01000,Alabama,68,          Social services,407
01000,Alabama,69,          Membership organizations,833
01000,Alabama,70,          Other services,2429
01000,Alabama,71,          Private households,155
01000,Alabama,72,  Government and government enterprises,16298
01000,Alabama,73,      Federal civilian,4294
01000,Alabama,74,      Military,1567
01000,Alabama,75,      State and local,10437
01000,Alabama,76,Addenda:,
01000,Alabama,76,  Electronic equipment and instruments,1348
01000,Alabama,77,  Depository and nondepository institutions,3381
01000,Alabama,78,  Business services and other services,5547
02000,Alaska,1,All industry total,27581
02000,Alaska,2,  Private industries,22544
02000,Alaska,3,"      Agriculture, forestry, and fishing",367
02000,Alaska,4,          Farms,25
02000,Alaska,5,"          Agricultural services, forestry, and fishing",341
02000,Alaska,6,      Mining,7522
02000,Alaska,7,          Metal mining,560
02000,Alaska,8,          Coal mining,24
02000,Alaska,9,          Oil and gas extraction,6914
02000,Alaska,10,"          Nonmetallic minerals, except fuels",24
02000,Alaska,11,      Construction,1172
02000,Alaska,12,      Manufacturing,1074
02000,Alaska,13,          Durable goods manufacturing,253
02000,Alaska,14,              Lumber and wood products,173
02000,Alaska,15,              Furniture and fixtures,4
02000,Alaska,16,"              Stone, clay, and glass products",20
02000,Alaska,17,              Primary metal industries,11
02000,Alaska,18,              Fabricated metal products,12
02000,Alaska,19,              Industrial machinery and equipment,10
02000,Alaska,20,              Electronic and other electric equipment,1
02000,Alaska,21,              Motor vehicles and equipment,1
02000,Alaska,22,              Other transportation equipment,14
02000,Alaska,23,              Instruments and related products,5
02000,Alaska,24,              Miscellaneous manufacturing industries,3
02000,Alaska,25,          Nondurable goods manufacturing,821
02000,Alaska,26,              Food and kindred products,393
02000,Alaska,27,              Tobacco products,(L)
02000,Alaska,28,              Textile mill products,1
02000,Alaska,29,              Apparel and other textile products,2
02000,Alaska,30,              Paper and allied products,41
02000,Alaska,31,              Printing and publishing,48
02000,Alaska,32,              Chemicals and allied products,81
02000,Alaska,33,              Petroleum and coal products,253
02000,Alaska,34,              Rubber and miscellaneous plastics products,2
02000,Alaska,35,              Leather and leather products,(L)
02000,Alaska,36,      Transportation and public utilities,4169
02000,Alaska,37,          Transportation,3220
02000,Alaska,38,              Railroad transportation,0
02000,Alaska,39,              Local and interurban passenger transit,68
02000,Alaska,40,              Trucking and warehousing,218
02000,Alaska,41,              Water transportation,129
02000,Alaska,42,              Transportation by air,902
02000,Alaska,43,"              Pipelines, except natural gas",1826
02000,Alaska,44,              Transportation services,77
02000,Alaska,45,          Communications,547
02000,Alaska,46,"          Electric, gas, and sanitary services",402
02000,Alaska,47,      Wholesale trade,769
02000,Alaska,48,      Retail trade,1778
02000,Alaska,49,"      Finance, insurance, and real estate",2502
02000,Alaska,50,          Depository institutions,333
02000,Alaska,51,          Nondepository institutions,42
02000,Alaska,52,          Security and commodity brokers,47
02000,Alaska,53,          Insurance carriers,164
02000,Alaska,54,"          Insurance agents, brokers, and services",70
02000,Alaska,55,          Real estate,1821
02000,Alaska,56,          Holding and other investment offices,25
02000,Alaska,57,      Services,3191
02000,Alaska,58,          Hotels and other lodging places,228
02000,Alaska,59,          Personal services,97
02000,Alaska,60,          Business services,501
02000,Alaska,61,"          Automotive repair, services, and parking",157
02000,Alaska,62,          Miscellaneous repair services,92
02000,Alaska,63,          Motion pictures,15
02000,Alaska,64,          Amusement and recreation services,119
02000,Alaska,65,          Health services,847
02000,Alaska,66,          Legal services,147
02000,Alaska,67,          Educational services,67
