SAGDP5N Subsidies 1/,,,,,,,
(Thousands of dollars) ,,,,,,,
Bureau of Economic Analysis ,,,,,,,
State or DC,,,,,,,
GeoFips,GeoName,LineCode,Description,2001,2002,2003,2004
1000,Alabama,1,All industry total,-642679,-413710,-534403,-491001
1000,Alabama,2,  Private industries,-549759,-306553,-424574,-378244
1000,Alabama,3,"    Agriculture, forestry, fishing, and hunting",-408195,-174622,-273095,-224335
1000,Alabama,4,      Farms,-408195,-174622,-273095,-224335
1000,Alabama,5,"      Forestry, fishing, and related activities",0,0,0,0
1000,Alabama,6,"    Mining, quarrying, and oil and gas extraction",0,0,0,0
1000,Alabama,7,      Oil and gas extraction,0,0,0,0
1000,Alabama,8,      Mining (except oil and gas),0,0,0,0
1000,Alabama,9,      Support activities for mining,0,0,0,0
1000,Alabama,10,    Utilities,0,0,0,0
1000,Alabama,11,    Construction,0,0,0,0
1000,Alabama,12,    Manufacturing,0,0,0,0
1000,Alabama,13,      Durable goods manufacturing,0,0,0,0
1000,Alabama,14,        Wood product manufacturing,0,0,0,0
1000,Alabama,15,        Nonmetallic mineral product manufacturing,0,0,0,0
1000,Alabama,16,        Primary metal manufacturing,0,0,0,0
1000,Alabama,17,        Fabricated metal product manufacturing,0,0,0,0
1000,Alabama,18,        Machinery manufacturing,0,0,0,0
1000,Alabama,19,        Computer and electronic product manufacturing,0,0,0,0
1000,Alabama,20,"        Electrical equipment, appliance, and component manufacturing",0,0,0,0
1000,Alabama,21,"        Motor vehicles, bodies and trailers, and parts manufacturing",0,0,0,0
1000,Alabama,22,        Other transportation equipment manufacturing,0,0,0,0
1000,Alabama,23,        Furniture and related product manufacturing,0,0,0,0
1000,Alabama,24,        Miscellaneous manufacturing,0,0,0,0
1000,Alabama,25,      Nondurable goods manufacturing,0,0,0,0
1000,Alabama,26,        Food and beverage and tobacco products manufacturing,0,0,0,0
1000,Alabama,27,        Textile mills and textile product mills,0,0,0,0
1000,Alabama,28,"        Apparel, leather, and allied product manufacturing",0,0,0,0
1000,Alabama,29,        Paper manufacturing,0,0,0,0
1000,Alabama,30,        Printing and related support activities,0,0,0,0
1000,Alabama,31,        Petroleum and coal products manufacturing,0,0,0,0
1000,Alabama,32,        Chemical manufacturing,0,0,0,0
1000,Alabama,33,        Plastics and rubber products manufacturing,0,0,0,0
1000,Alabama,34,    Wholesale trade,0,0,0,0
1000,Alabama,35,    Retail trade,0,0,0,0
1000,Alabama,36,    Transportation and warehousing,-20413,-3899,-12714,-8212
