SAGDP5N Subsidies 1/,,,,,,,
(Thousands of dollars) ,,,,,,,
Bureau of Economic Analysis ,,,,,,,
State or DC,,,,,,,
GeoFips,GeoName,LineCode,Description,1997,1998,1999,2000
1000,Alabama,1,All industry total,-316301,-402130,-609741,-549649
1000,Alabama,2,  Private industries,-217931,-312833,-518042,-468729
1000,Alabama,3,"    Agriculture, forestry, fishing, and hunting",-98480,-191264,-390374,-346094
1000,Alabama,4,      Farms,-98480,-191264,-390374,-346094
1000,Alabama,5,"      Forestry, fishing, and related activities",0,0,0,0
1000,Alabama,6,"    Mining, quarrying, and oil and gas extraction",0,0,0,0
1000,Alabama,7,      Oil and gas extraction,0,0,0,0
1000,Alabama,8,      Mining (except oil and gas),0,0,0,0
1000,Alabama,9,      Support activities for mining,0,0,0,0
1000,Alabama,10,    Utilities,0,0,0,0
1000,Alabama,11,    Construction,0,0,0,0
1000,Alabama,12,    Manufacturing,0,0,0,0
1000,Alabama,13,      Durable goods manufacturing,0,0,0,0
1000,Alabama,14,        Wood product manufacturing,0,0,0,0
1000,Alabama,15,        Nonmetallic mineral product manufacturing,0,0,0,0
1000,Alabama,16,        Primary metal manufacturing,0,0,0,0
1000,Alabama,17,        Fabricated metal product manufacturing,0,0,0,0
1000,Alabama,18,        Machinery manufacturing,0,0,0,0
1000,Alabama,19,        Computer and electronic product manufacturing,0,0,0,0
1000,Alabama,20,"        Electrical equipment, appliance, and component manufacturing",0,0,0,0
1000,Alabama,21,"        Motor vehicles, bodies and trailers, and parts manufacturing",0,0,0,0
1000,Alabama,22,        Other transportation equipment manufacturing,0,0,0,0
1000,Alabama,23,        Furniture and related product manufacturing,0,0,0,0
1000,Alabama,24,        Miscellaneous manufacturing,0,0,0,0
1000,Alabama,25,      Nondurable goods manufacturing,0,0,0,0
1000,Alabama,26,        Food and beverage and tobacco products manufacturing,0,0,0,0
1000,Alabama,27,        Textile mills and textile product mills,0,0,0,0
1000,Alabama,28,"        Apparel, leather, and allied product manufacturing",0,0,0,0
1000,Alabama,29,        Paper manufacturing,0,0,0,0
1000,Alabama,30,        Printing and related support activities,0,0,0,0
1000,Alabama,31,        Petroleum and coal products manufacturing,0,0,0,0
1000,Alabama,32,        Chemical manufacturing,0,0,0,0
1000,Alabama,33,        Plastics and rubber products manufacturing,0,0,0,0
1000,Alabama,34,    Wholesale trade,0,0,0,0
1000,Alabama,35,    Retail trade,0,0,0,0
1000,Alabama,36,    Transportation and warehousing,-2418,-1410,-1368,-1541
1000,Alabama,37,      Air transportation,-73,4,0,-4
1000,Alabama,38,      Rail transportation,-1731,-1137,-1250,-1245
1000,Alabama,39,      Water transportation,-613,-277,-118,-292
1000,Alabama,40,      Truck transportation,0,0,0,0
1000,Alabama,41,      Transit and ground passenger transportation,0,0,0,0
1000,Alabama,42,      Pipeline transportation,0,0,0,0
1000,Alabama,43,      Other transportation and support activities,0,0,0,0
1000,Alabama,44,      Warehousing and storage,0,0,0,0
1000,Alabama,45,    Information,0,0,0,0
1000,Alabama,46,      Publishing industries (except Internet),0,0,0,0
1000,Alabama,47,      Motion picture and sound recording industries,0,0,0,0
1000,Alabama,48,      Broadcasting (except Internet) and telecommunications,0,0,0,0
1000,Alabama,49,"      Data processing, hosting, and other information services",0,0,0,0
1000,Alabama,50,"    Finance, insurance, real estate, rental, and leasing",-117032,-120160,-126300,-121094
1000,Alabama,51,      Finance and insurance,-382,-367,-749,-886
1000,Alabama,52,"        Monetary Authorities- central bank, credit intermediation, and related services",-382,-367,-749,-886
1000,Alabama,53,"        Securities, commodity contracts, and other financial investments and related activities",0,0,0,0
1000,Alabama,54,        Insurance carriers and related activities,0,0,0,0
1000,Alabama,55,"        Funds, trusts, and other financial vehicles",0,0,0,0
1000,Alabama,56,      Real estate and rental and leasing,-116650,-119792,-125550,-120208
1000,Alabama,57,        Real estate,-116650,-119792,-125550,-120208
1000,Alabama,58,        Rental and leasing services and lessors of nonfinancial intangible assets,0,0,0,0
1000,Alabama,59,    Professional and business services,0,0,0,0
