SAINC7N Wages and Salaries by NAICS Industry 1/,,,,,,,
(Thousands of dollars) ,,,,,,,
Bureau of Economic Analysis ,,,,,,,
State or DC,,,,,,,
GeoFips,GeoName,LineCode,Description,1998,1999,2000,2001
1000,Alabama,50,Wages and salaries by place of work (thousands of dollars),52742568,55189942,57239267,58650321
1000,Alabama,81,  Farm wages and salaries,126807,117308,128507,168354
1000,Alabama,82,  Nonfarm wages and salaries,52615761,55072634,57110760,58481967
1000,Alabama,90,    Private nonfarm wages and salaries,41979512,43997806,45628317,46572804
1000,Alabama,100,"      Forestry, fishing, and related activities",258803,255507,261718,(D)
1000,Alabama,101,        Forestry and logging,168181,163278,161148,(D)
1000,Alabama,102,"        Fishing, hunting and trapping",(T),(T),1288,1818
1000,Alabama,103,        Support activities for agriculture and forestry,89186,90720,99282,98672
1000,Alabama,200,"      Mining, quarrying, and oil and gas extraction",480726,454425,408861,406050
1000,Alabama,201,        Oil and gas extraction,32358,32447,36010,41871
1000,Alabama,202,        Mining (except oil and gas),381997,365913,334013,328149
1000,Alabama,203,        Support activities for mining,66371,56065,38838,36030
1000,Alabama,300,      Utilities,804042,828930,888385,965509
1000,Alabama,400,      Construction,2809203,3055191,3211649,3358071
1000,Alabama,401,        Construction of buildings,812102,854224,886247,986996
1000,Alabama,402,        Heavy and civil engineering construction,480813,520177,558810,592775
1000,Alabama,403,        Specialty trade contractors,1516288,1680790,1766592,1778300
1000,Alabama,500,      Manufacturing,11340266,11615563,11637717,11432168
1000,Alabama,510,        Durable goods manufacturing,6297781,6592212,6597931,6535092
1000,Alabama,511,          Wood product manufacturing,725008,755287,709956,658934
1000,Alabama,512,          Nonmetallic mineral product manufacturing,319780,328369,342617,344519
1000,Alabama,513,          Primary metal manufacturing,1024624,1042954,974022,903755
1000,Alabama,514,          Fabricated metal product manufacturing,903564,938134,941653,933806
1000,Alabama,515,          Machinery manufacturing,505953,516719,532778,503902
1000,Alabama,516,          Computer and electronic product manufacturing,743197,693691,719405,705897
1000,Alabama,517,"          Electrical equipment, appliance, and component manufacturing",241444,247982,240256,232713
