SAINC7N Wages and Salaries by NAICS Industry 1/,,,,,,,
(Thousands of dollars) ,,,,,,,
Bureau of Economic Analysis ,,,,,,,
State or DC,,,,,,,
GeoFips,GeoName,LineCode,Description,2002,2003,2004,2005
1000,Alabama,50,Wages and salaries by place of work (thousands of dollars),60175123,62193386,65590703,69328192
1000,Alabama,81,  Farm wages and salaries,161977,134857,179046,159510
1000,Alabama,82,  Nonfarm wages and salaries,60013146,62058529,65411657,69168682
1000,Alabama,90,    Private nonfarm wages and salaries,47446831,48824710,51647442,54783437
1000,Alabama,100,"      Forestry, fishing, and related activities",251943,254511,262161,265121
1000,Alabama,101,        Forestry and logging,152813,156009,159952,161172
1000,Alabama,102,"        Fishing, hunting and trapping",1428,991,1113,1020
1000,Alabama,103,        Support activities for agriculture and forestry,97702,97511,101096,102929
1000,Alabama,200,"      Mining, quarrying, and oil and gas extraction",411807,392543,402414,473278
1000,Alabama,201,        Oil and gas extraction,39022,47548,42425,47381
1000,Alabama,202,        Mining (except oil and gas),339108,314285,325312,383890
1000,Alabama,203,        Support activities for mining,33677,30710,34677,42007
1000,Alabama,300,      Utilities,945640,1007770,1040659,1021064
1000,Alabama,400,      Construction,3287818,3338889,3518835,3822367
1000,Alabama,401,        Construction of buildings,962273,957224,997200,1072010
1000,Alabama,402,        Heavy and civil engineering construction,573183,555421,585262,668435
1000,Alabama,403,        Specialty trade contractors,1752362,1826244,1936373,2081922
1000,Alabama,500,      Manufacturing,11163655,11037676,11531749,12128993
1000,Alabama,510,        Durable goods manufacturing,6591522,6603427,7086713,7701793
1000,Alabama,511,          Wood product manufacturing,653192,611203,648749,679417
1000,Alabama,512,          Nonmetallic mineral product manufacturing,335487,338441,348722,366603
1000,Alabama,513,          Primary metal manufacturing,873701,875792,957869,1009250
1000,Alabama,514,          Fabricated metal product manufacturing,947552,952785,990506,1063582
1000,Alabama,515,          Machinery manufacturing,472996,458891,491571,520116
1000,Alabama,516,          Computer and electronic product manufacturing,661322,702038,701607,698673
1000,Alabama,517,"          Electrical equipment, appliance, and component manufacturing",227777,220500,234042,246185
1000,Alabama,518,"          Motor vehicles, bodies and trailers, and parts manufacturing",1028830,1135733,1321814,1636903
1000,Alabama,519,          Other transportation equipment manufacturing,805064,727864,771591,818570
1000,Alabama,521,          Furniture and related product manufacturing,360295,365344,399315,431777
1000,Alabama,522,          Miscellaneous manufacturing,225306,214836,220927,230717
1000,Alabama,530,        Nondurable goods manufacturing,4572133,4434249,4445036,4427200
1000,Alabama,531,          Food manufacturing,887493,885003,911551,909806
1000,Alabama,532,          Beverage and tobacco product manufacturing,99161,105116,112609,119494
1000,Alabama,533,          Textile mills,448881,400825,381699,369341
1000,Alabama,534,          Textile product mills,302312,300620,299193,292668
1000,Alabama,535,          Apparel manufacturing,374398,339907,334153,305652
1000,Alabama,536,          Leather and allied product manufacturing,1806,1888,1807,2276
1000,Alabama,537,          Paper manufacturing,887253,898211,918788,925823
1000,Alabama,538,          Printing and related support activities,252954,207081,212206,200637
1000,Alabama,539,          Petroleum and coal products manufacturing,100649,110769,114446,118493
1000,Alabama,541,          Chemical manufacturing,636996,621097,621476,617238
1000,Alabama,542,          Plastics and rubber products manufacturing,580230,563732,537108,565772
1000,Alabama,600,      Wholesale trade,3220086,3289154,3550671,3797024
1000,Alabama,700,      Retail trade,4750978,4897528,5111389,5368559
1000,Alabama,701,        Motor vehicle and parts dealers,995265,1024713,1061045,1117552
1000,Alabama,702,        Furniture and home furnishings stores,177024,180848,189877,206155
1000,Alabama,703,        Electronics and appliance stores,174642,170998,178033,169592
1000,Alabama,704,        Building material and garden equipment and supplies dealers,420208,447814,500983,565107
1000,Alabama,705,        Food and beverage stores,670307,648624,632554,634736
1000,Alabama,706,        Health and personal care stores,344943,376899,411988,436805
1000,Alabama,707,        Gasoline stations,287092,288951,290585,293360
1000,Alabama,708,        Clothing and clothing accessories stores,286684,257121,272214,280302
1000,Alabama,709,"        Sporting goods, hobby, musical instrument, and book stores",130694,136401,142226,142213
1000,Alabama,711,        General merchandise stores,905979,1005767,1064957,1139212
1000,Alabama,712,        Miscellaneous store retailers,232012,236102,238435,248523
1000,Alabama,713,        Nonstore retailers,126128,123290,128492,135002
1000,Alabama,800,      Transportation and warehousing,1773841,1814642,1945274,2101824
1000,Alabama,801,        Air transportation,32362,30777,32323,34745
1000,Alabama,802,        Rail transportation,(D),(D),(D),(D)
